,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,00.756.851/0001-69,-0.24927119310101992,-0.6322189534289837,0.10961441426217822,0.7238984286022664,0.046893907651881284
1,00.822.933/0001-64,-0.6769359009373777,0.7505291764506594,-0.015102950693234966,-0.9674507346311487,0.064952936417677
2,00.824.198/0001-28,-0.7979231678406318,0.8660311059356027,0.013380512251398163,-0.5671396653398186,0.05663742988931274
3,00.826.386/0001-95,-0.6950673546818092,0.8710356471498923,0.036291268502787195,0.8778948824313526,0.04724015984858157
4,00.826.907/0001-04,-0.8152887974137303,0.8837154878428143,0.018441072986068747,0.4307182362791366,0.056192695568614476
5,00.826.911/0001-72,-0.8347411803963862,0.878528047128037,-0.007153803965311216,0.8885026579081767,0.03742525410882719
6,00.829.282/0001-34,-0.5641919726984674,0.424500880059074,0.04792363997632349,-0.0761316339749878,0.046338842257771976
7,00.829.288/0001-01,-0.7072670042092318,0.6761603140780876,0.056050351257868475,0.5188479153767303,0.06556508427881369
8,00.829.292/0001-70,-0.326030890562028,-0.13366659507516254,-0.08130244726314391,-0.5720304215406694,0.06291833206884864
9,00.832.414/0001-87,-0.8216484192311467,0.8817626638805313,-0.0813797808476657,-0.8806968874211014,0.04679249854875141
10,00.832.445/0001-38,-0.8267826162698207,0.8802497660764572,0.03792718451812411,-0.6793467085799019,0.038256231348670476
11,00.834.072/0001-34,-0.8129002736591456,0.8443046290992037,0.02549533028755975,0.5100143529092116,0.05176924073902763
12,01.129.004/0001-37,-0.308755519257715,-0.23850384993781776,0.031919648528562876,-0.35736484225328957,0.06612180569877008
13,01.433.414/0001-77,-0.8179757219553191,0.8772214697740601,-0.011316519607092365,-0.3913355821377262,0.052021907446009215
14,01.616.137/0001-38,,,,,0.06394282208140571
15,01.624.178/0001-76,-0.7867939873837525,0.8786346242734343,0.0150750472657328,-0.638498318660801,0.06671541292811221
16,01.972.291/0001-42,-0.8163197690757891,0.86084495613056,-0.017489542418104163,0.9465110065587848,0.050869201278296194
17,01.972.663/0001-30,-0.8003775531804269,0.8492583692532079,-0.09729006054624953,0.07136779060644975,0.060060061073261235
18,01.996.007/0001-78,0.5574731050897072,-0.7647706584109033,-0.6826493700658357,-0.8081392231306394,0.057827351166534
19,02.294.026/0001-15,,,,,0.06789748677787948
20,02.567.996/0001-47,-0.7945621256587145,0.8867619757653578,-0.030799025705124734,-0.8425251528120089,0.06461134411221277
21,02.887.948/0001-36,-0.5403805897389268,0.6589206746230569,0.0037831663422129686,0.7353448542874685,0.057761866683016444
22,02.939.538/0001-91,-0.8277911810330795,0.8778782518758895,-0.19265947062713445,0.9608827253015183,0.04152714523571019
23,03.182.559/0001-78,-0.8274961410168119,0.8402654992690581,0.09036009789364925,-0.49113474996611384,0.041259344309913
24,03.336.760/0001-62,-0.6933237573150918,0.6995248830148804,0.07655035566039008,0.9247595621267284,0.06601889102583335
25,03.336.931/0001-53,-0.8214386703189032,0.8708374948160806,-0.010125861608227064,-0.9098480236597504,0.05751554538078457
26,03.504.010/0001-52,-0.6147015583969377,0.18638439271853333,0.03779360633177793,-0.34699827269331984,0.06337599256964421
27,03.652.358/0001-97,-0.824263998278612,0.876449335776679,-0.07208890523661678,0.5629209274371036,0.05468073246917724
28,03.721.554/0001-76,-0.782504316079942,0.8697392907690153,0.05039258291926152,-0.7196504223326464,0.06390466630338582
29,03.737.211/0001-08,0.3505170003622693,-0.7045902820251123,-0.12693879269234476,0.24621983156876548,0.06143775532218891
30,04.061.224/0001-64,0.6628639558760758,-0.8200021522027588,-0.7109807439079177,0.1619095428183298,0.06341205458080747
31,04.061.548/0001-00,-0.8244932431393341,0.8789023631295365,-0.45024210619938104,0.8835640749589845,0.060054048590392706
32,04.128.562/0001-76,-0.3473090507787823,0.04962772224706073,0.06883793824410975,0.961986174663952,0.0640398100063547
33,04.220.338/0001-00,0.7666592400742871,-0.7822001288293423,0.028957547431273743,-0.9753404922355096,0.05748611924004927
34,04.237.569/0001-26,-0.6935994674282218,0.5918367735905774,-0.028607175542713005,0.7054256465215556,0.037695662323878075
35,04.237.583/0001-20,0.08235164306826348,-0.7146236096944294,0.06947763170634619,-0.5129913448296223,0.056763998497895964
36,04.288.944/0001-67,-0.8326582241583158,0.8478744446739843,0.007784037228515747,-0.6199764598315124,0.0637783859109546
37,04.528.776/0001-30,-0.7882323980082332,0.8385745147104494,0.19794999702572447,-0.5359295665677232,0.05774914929926743
38,04.831.907/0001-53,-0.8116596698879979,0.8377499591581146,0.00359782885264474,-0.6065254194267007,0.06360606956059159
39,05.073.650/0001-80,0.782416239798002,-0.7113347682366026,-0.03211210729702541,-0.8997151864924371,0.0631383605335011
40,05.080.623/0001-35,-0.0708921277818391,-0.43317401115242604,-0.06355028845745962,0.9454598139646704,0.041478092811405874
41,05.222.448/0001-73,,,,,0.0680685125618565
42,05.222.538/0001-64,-0.1642925757570939,-0.4474739270837553,0.10421679005744001,0.594635230444396,0.06075902854118212
43,05.575.465/0001-94,-0.28915531647851656,0.09440206632057722,0.09811727822844604,0.42799896667892917,0.0605356442189866
44,05.629.940/0001-68,0.6328565614547212,-0.7094860745879341,0.04336671139744392,-0.3205085466226613,0.05673207859251078
45,05.902.521/0001-58,0.33991829442555394,-0.7961495427305121,0.018256922594855157,-0.15710157408047248,0.06611412514502779
46,05.903.160/0001-64,-0.8298708290918897,0.8742862260399616,-0.14434749148601406,0.9320041620923606,0.053472994236646976
47,05.943.661/0001-74,0.6407374655814456,-0.8158478553788404,-0.02888229230468092,-0.04076105476240975,0.05797314016465406
48,05.983.569/0001-38,-0.6250645936746028,0.7206255926572478,0.1600623009528761,0.5992949535780475,0.05672895860341209
49,05.983.641/0001-27,0.1457233831376938,-0.6308369872419168,-0.009821730433159594,-0.7555955803451428,0.051107995066519224
50,06.877.848/0001-80,-0.7533797367831606,0.7666445965461196,0.06083463217840987,0.8581182285352962,0.05799885933546285
51,06.878.655/0001-43,-0.8060810181269888,0.8742131912916936,-0.014335678366470143,0.9100301902579799,0.035343079585970986
52,07.104.788/0001-25,-0.7241934732029311,0.4107112341868283,0.030943827555049163,0.9494796246842863,0.048661351089398806
53,07.187.570/0001-81,-0.10122098445356636,-0.2527684658622003,-0.0004652157906738471,-0.3765522792441249,0.05790456604503374
54,07.287.126/0001-38,0.28171547311666556,0.6223435896070315,0.022953025174441928,-0.8617877660711813,0.06411156628431627
55,08.009.286/0001-88,-0.8229641732660453,0.8084635781443552,-0.00407305743526467,0.9264337967059141,0.05593861991325923
56,08.215.807/0001-53,0.6910428843895219,-0.6501936230152029,-0.036871812236980536,-0.9067933205615534,0.05618879521949158
